score,time,maxcombo,coin,item
59,25,7,53,Hammer
10,6,0,5,Flail
83,35,23,79,Horn Gun
217,156,13,417,Flail
59,25,8,53,Hammer
63,48,18,102,Cannon
177,111,13,233,Horn Gun
154,113,10,283,Hammer
83,35,5,79,Horn Gun
167,116,14,277,Cannon
177,122,18,488,Horn Gun
23,17,3,14,Hammer
60,36,6,59,Flail
32,15,3,26,Flail
162,122,12,259,Cannon
153,112,8,379,Cannon
340,254,18,750,Cannon
188,146,19,295,Cannon
521,443,14,1104,Cannon
91,40,5,80,Horn Gun
143,111,11,244,Horn Gun
95,38,16,61,Hammer
101,52,5,77,Horn Gun
45,19,6,33,Flail
257,152,14,644,Flail
255,29,12,598,Hammer
147,110,9,419,Horn Gun
406,346,20,1102,Flail
198,112,13,385,Cannon
167,112,12,250,Horn Gun
206,122,18,401,Cannon
157,17,13,315,Horn Gun
179,123,19,296,Horn Gun
155,14,6,249,Horn Gun
182,12,6,282,Hammer
594,458,23,1625,Cannon
121,10,6,304,Flail
72,32,16,61,Flail
181,113,13,275,Cannon
43,22,5,41,Hammer
90,33,17,83,Horn Gun
401,339,13,1165,Hammer
141,54,10,325,Hammer
166,59,9,421,Hammer
33,18,4,22,Flail
82,38,11,71,Cannon
70,40,5,75,Cannon
92,39,13,56,Cannon
288,226,12,761,Cannon
148,10,9,77,Horn Gun
406,339,17,1372,Cannon
173,114,9,218,Horn Gun
140,17,7,230,Flail
151,12,19,233,Hammer
170,114,13,319,Hammer
55,26,6,47,Flail
516,516,26,2341,Horn Gun
162,54,14,290,Horn Gun
295,259,17,951,Cannon
107,42,10,168,Cannon
212,151,30,381,Flail
109,47,12,94,Flail
166,116,8,473,Hammer
92,33,9,78,Horn Gun
196,125,19,271,Flail
316,258,15,923,Cannon
147,14,16,433,Flail
470,56,21,1105,Cannon
445,418,18,929,Cannon
711,843,32,1548,Cannon
