score,time,maxcombo,coin,item
59,25,7,53,해머
10,6,0,5,플레일
83,35,23,79,나팔총
217,156,13,417,플레일
59,25,8,53,해머
63,48,18,102,캐논
177,111,13,233,나팔총
154,113,10,283,해머
83,35,5,79,나팔총
167,116,14,277,캐논
177,122,18,488,나팔총
23,17,3,14,해머
60,36,6,59,플레일
32,15,3,26,플레일
162,122,12,259,캐논
153,112,8,379,캐논
340,254,18,750,캐논
188,146,19,295,캐논
521,443,14,1104,캐논
91,40,5,80,나팔총
143,111,11,244,나팔총
95,38,16,61,해머
101,52,5,77,나팔총
45,19,6,33,플레일
257,152,14,644,플레일
255,29,12,598,해머
147,110,9,419,나팔총
406,346,20,1102,플레일
198,112,13,385,캐논
167,112,12,250,나팔총
206,122,18,401,캐논
157,17,13,315,나팔총
179,123,19,296,나팔총
155,14,6,249,나팔총
182,12,6,282,해머
594,458,23,1625,캐논
121,10,6,304,플레일
72,32,16,61,플레일
181,113,13,275,캐논
43,22,5,41,해머
90,33,17,83,나팔총
401,339,13,1165,해머
141,54,10,325,해머
166,59,9,421,해머
33,18,4,22,플레일
82,38,11,71,캐논
70,40,5,75,캐논
92,39,13,56,캐논
288,226,12,761,캐논
148,10,9,77,나팔총
406,339,17,1372,캐논
173,114,9,218,나팔총
140,17,7,230,플레일
151,12,19,233,해머
170,114,13,319,해머
55,26,6,47,플레일
516,516,26,2341,나팔총
162,54,14,290,나팔총
295,259,17,951,캐논
107,42,10,168,캐논
212,151,30,381,플레일
109,47,12,94,플레일
166,116,8,473,해머
92,33,9,78,나팔총
196,125,19,271,플레일
316,258,15,923,캐논
147,14,16,433,플레일
470,56,21,1105,캐논
445,418,18,929,캐논
711,843,32,1548,캐논
